"","år","kön","Levande.födda","Dödfödda","Döda.under.första.levnadsåret","Döda.under.första.levnadsdygnet","Dödfödda.per.1.000.levande.födda.och.dödfödda","Döda.under.första.levnadsåret.per.1.000.levande.födda","Döda.under.första.levnadsdygnet.per.1.000.levande"
"1",1749,"båda könen",59483,NA,NA,NA,NA,NA,NA
"2",1749,"pojkar",30101,NA,NA,NA,NA,NA,NA
"3",1749,"flickor",29382,NA,NA,NA,NA,NA,NA
"4",1750,"båda könen",64511,NA,NA,NA,NA,NA,NA
"5",1750,"pojkar",32819,NA,NA,NA,NA,NA,NA
"6",1750,"flickor",31692,NA,NA,NA,NA,NA,NA
"7",1751,"båda könen",69291,NA,12890,NA,NA,186.03,NA
"8",1751,"pojkar",35263,NA,6902,NA,NA,195.73,NA
"9",1751,"flickor",34028,NA,5988,NA,NA,175.97,NA
"10",1752,"båda könen",64973,NA,14445,NA,NA,222.32,NA
"11",1752,"pojkar",33178,NA,7710,NA,NA,232.38,NA
"12",1752,"flickor",31795,NA,6735,NA,NA,211.83,NA
"13",1753,"båda könen",66007,NA,12508,NA,NA,189.5,NA
"14",1753,"pojkar",33759,NA,6740,NA,NA,199.65,NA
"15",1753,"flickor",32248,NA,5768,NA,NA,178.86,NA
"16",1754,"båda könen",68759,NA,14135,NA,NA,205.57,NA
"17",1754,"pojkar",35002,NA,7577,NA,NA,216.47,NA
"18",1754,"flickor",33757,NA,6558,NA,NA,194.27,NA
"19",1755,"båda könen",70008,NA,15779,NA,NA,225.39,NA
"20",1755,"pojkar",35810,NA,8312,NA,NA,232.11,NA
"21",1755,"flickor",34198,NA,7467,NA,NA,218.35,NA
"22",1756,"båda könen",67987,NA,14949,NA,NA,219.88,NA
"23",1756,"pojkar",34599,NA,7936,NA,NA,229.37,NA
"24",1756,"flickor",33388,NA,7013,NA,NA,210.05,NA
"25",1757,"båda könen",61675,NA,13624,NA,NA,220.9,NA
"26",1757,"pojkar",31708,NA,7239,NA,NA,228.3,NA
"27",1757,"flickor",29967,NA,6385,NA,NA,213.07,NA
"28",1758,"båda könen",63262,NA,13200,NA,NA,208.66,NA
"29",1758,"pojkar",32417,NA,7160,NA,NA,220.87,NA
"30",1758,"flickor",30845,NA,6040,NA,NA,195.82,NA
"31",1759,"båda könen",63865,NA,12117,NA,NA,189.73,NA
"32",1759,"pojkar",32816,NA,6646,NA,NA,202.52,NA
"33",1759,"flickor",31049,NA,5471,NA,NA,176.21,NA
"34",1760,"båda könen",68384,NA,12255,NA,NA,179.21,NA
"35",1760,"pojkar",34693,NA,6519,NA,NA,187.91,NA
"36",1760,"flickor",33691,NA,5736,NA,NA,170.25,NA
"37",1761,"båda könen",67324,NA,14067,NA,NA,208.94,NA
"38",1761,"pojkar",34505,NA,7561,NA,NA,219.13,NA
"39",1761,"flickor",32819,NA,6506,NA,NA,198.24,NA
"40",1762,"båda könen",68268,NA,16328,NA,NA,239.18,NA
"41",1762,"pojkar",34890,NA,8521,NA,NA,244.22,NA
"42",1762,"flickor",33378,NA,7807,NA,NA,233.9,NA
"43",1763,"båda könen",68231,NA,16398,NA,NA,240.33,NA
"44",1763,"pojkar",34923,NA,8714,NA,NA,249.52,NA
"45",1763,"flickor",33308,NA,7684,NA,NA,230.7,NA
"46",1764,"båda könen",67988,NA,14096,NA,NA,207.33,NA
"47",1764,"pojkar",34852,NA,7613,NA,NA,218.44,NA
"48",1764,"flickor",33136,NA,6483,NA,NA,195.65,NA
"49",1765,"båda könen",65872,NA,13984,NA,NA,212.29,NA
"50",1765,"pojkar",33812,NA,7573,NA,NA,223.97,NA
"51",1765,"flickor",32060,NA,6411,NA,NA,199.97,NA
"52",1766,"båda könen",67061,NA,13995,NA,NA,208.69,NA
"53",1766,"pojkar",34202,NA,7583,NA,NA,221.71,NA
"54",1766,"flickor",32859,NA,6412,NA,NA,195.14,NA
"55",1767,"båda könen",70744,NA,14058,NA,NA,198.72,NA
"56",1767,"pojkar",36136,NA,7726,NA,NA,213.8,NA
"57",1767,"flickor",34608,NA,6332,NA,NA,182.96,NA
"58",1768,"båda könen",67719,NA,14866,NA,NA,219.52,NA
"59",1768,"pojkar",34658,NA,7936,NA,NA,228.98,NA
"60",1768,"flickor",33061,NA,6930,NA,NA,209.61,NA
"61",1769,"båda könen",66954,NA,14511,NA,NA,216.73,NA
"62",1769,"pojkar",34063,NA,7593,NA,NA,222.91,NA
"63",1769,"flickor",32891,NA,6918,NA,NA,210.33,NA
"64",1770,"båda könen",67172,NA,14035,NA,NA,208.94,NA
"65",1770,"pojkar",34308,NA,7364,NA,NA,214.64,NA
"66",1770,"flickor",32864,NA,6671,NA,NA,202.99,NA
"67",1771,"båda könen",65988,NA,13914,NA,NA,210.86,NA
"68",1771,"pojkar",33721,NA,7385,NA,NA,219,NA
"69",1771,"flickor",32267,NA,6529,NA,NA,202.34,NA
"70",1772,"båda könen",58972,NA,14113,NA,NA,239.32,NA
"71",1772,"pojkar",30140,NA,7541,NA,NA,250.2,NA
"72",1772,"flickor",28832,NA,6572,NA,NA,227.94,NA
"73",1773,"båda könen",51164,NA,14625,NA,NA,285.85,NA
